"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Saquon Barkley",PHI,"RB1","9","3 out of 5 stars","+1"
"3",1,"Bijan Robinson",ATL,"RB2","5","4 out of 5 stars","-1"
"4",1,"Justin Jefferson",MIN,"WR2","6","2 out of 5 stars","0"
"5",1,"Jahmyr Gibbs",DET,"RB3","8","2 out of 5 stars","0"
"6",2,"CeeDee Lamb",DAL,"WR3","10","2 out of 5 stars","0"
"7",2,"Derrick Henry",BAL,"RB4","7","4 out of 5 stars","+5"
"8",2,"Puka Nacua",LAR,"WR4","8","3 out of 5 stars","+2"
"9",2,"Malik Nabers",NYG,"WR5","14","2 out of 5 stars","0"
"10",2,"Nico Collins",HOU,"WR6","6","4 out of 5 stars","+3"
"11",2,"Brian Thomas Jr.",JAC,"WR7","8","4 out of 5 stars","+3"
"12",2,"Ashton Jeanty",LV,"RB5","8","2 out of 5 stars","-5"
"13",3,"Amon-Ra St. Brown",DET,"WR8","8","3 out of 5 stars","-5"
"14",3,"Jonathan Taylor",IND,"RB6","11","2 out of 5 stars","+6"
"15",3,"A.J. Brown",PHI,"WR9","9","3 out of 5 stars","+7"
"16",3,"Josh Jacobs",GB,"RB7","5","4 out of 5 stars","+1"
"17",3,"Drake London",ATL,"WR10","5","3 out of 5 stars","+1"
"18",3,"George Kittle",SF,"TE1","14","3 out of 5 stars","+25"
"19",3,"Christian McCaffrey",SF,"RB8","14","3 out of 5 stars","-8"
"20",3,"De'Von Achane",MIA,"RB9","12","4 out of 5 stars","-5"
"21",3,"Bucky Irving",TB,"RB10","9","3 out of 5 stars","0"
"22",3,"Brock Bowers",LV,"TE2","8","2 out of 5 stars","-6"
"23",4,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","+1"
"24",4,"Kyren Williams",LAR,"RB11","8","3 out of 5 stars","+1"
"25",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","-6"
"26",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","-3"
"27",4,"Tee Higgins",CIN,"WR12","10","3 out of 5 stars","+4"
"28",4,"Mike Evans",TB,"WR13","9","3 out of 5 stars","+14"
"29",4,"James Cook",BUF,"RB12","7","4 out of 5 stars","+6"
"30",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","-2"
"31",4,"Terry McLaurin",WAS,"WR14","12","3 out of 5 stars","+5"
"32",4,"Davante Adams",LAR,"WR15","8","3 out of 5 stars","+8"
"33",4,"Tyreek Hill",MIA,"WR16","12","3 out of 5 stars","-1"
"34",4,"Trey McBride",ARI,"TE3","8","5 out of 5 stars","-8"
"35",4,"Breece Hall",NYJ,"RB13","9","5 out of 5 stars","-5"
"36",4,"Chase Brown",CIN,"RB14","10","4 out of 5 stars","-9"
"37",4,"Jaxon Smith-Njigba",SEA,"WR17","8","3 out of 5 stars","-8"
"38",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","-1"
"39",5,"Garrett Wilson",NYJ,"WR18","9","4 out of 5 stars","-6"
"40",5,"Joe Mixon",HOU,"RB15","6","2 out of 5 stars","+5"
"41",5,"Kenneth Walker III",SEA,"RB16","8","3 out of 5 stars","0"
